||(altitude = "m", velocity = "m/s", thrust = "N", mass = "kg", drag = "N", density = "kg/m³")
||(altitude = 0.0, velocity = 0.0001022562885156515, thrust = 0.0f0, mass = 1165.7316f0, drag = NaN, density = 1.1565064f0)
T+00:00:00.80||(altitude = 24.224483158439398, velocity = 73.79917888843316, thrust = 90769.86f0, mass = 1116.9236f0, drag = 32.03594872367289, density = 1.151974f0)
T+00:00:01.32||(altitude = 68.54189650714397, velocity = 96.6053009752831, thrust = 27262.66f0, mass = 1104.5421f0, drag = 49.044674245962696, density = 1.146867f0)
T+00:00:02.32||(altitude = 199.1534043578431, velocity = 195.54574669471182, thrust = 96612.37f0, mass = 859.12994f0, drag = 189.7759837426692, density = 1.1305934f0)
T+00:00:02.88||(altitude = 305.4011220037937, velocity = 227.38366788611674, thrust = 29944.598f0, mass = 846.09717f0, drag = 424.14910898584526, density = 1.116867f0)
T+00:00:04.12||(altitude = 584.426418043673, velocity = 232.74527098155227, thrust = 7084.1055f0, mass = 646.70593f0, drag = 395.8620587193166, density = 1.0876402f0)
T+00:00:05.12||(altitude = 840.7386603774503, velocity = 233.37852379697048, thrust = 6873.6543f0, mass = 643.1113f0, drag = 397.65634592151537, density = 1.0642776f0)
T+00:00:05.76||(altitude = 980.8693716777489, velocity = 233.79987190701593, thrust = 6844.251f0, mass = 640.69763f0, drag = 398.9655359842766, density = 1.0494951f0)
T+00:00:06.28||(altitude = 1111.8727029645815, velocity = 234.15501450819352, thrust = 7002.9214f0, mass = 638.7286f0, drag = 399.97718619388394, density = 1.0370905f0)
T+00:00:06.80||(altitude = 1233.717288615182, velocity = 234.5478349241993, thrust = 7131.6426f0, mass = 636.90015f0, drag = 401.3541199591799, density = 1.0256389f0)
T+00:00:07.28||(altitude = 1346.3842991748825, velocity = 234.99668733440976, thrust = 7031.2183f0, mass = 635.2063f0, drag = 403.19924062407006, density = 1.0142001f0)
T+00:00:07.76||(altitude = 1468.684212943539, velocity = 235.48988588936078, thrust = 7023.621f0, mass = 633.29016f0, drag = 405.1195278219128, density = 1.0032144f0)
T+00:00:08.28||(altitude = 1595.9724454637617, velocity = 236.0394036025815, thrust = 7235.935f0, mass = 631.3743f0, drag = 407.2948818321263, density = 0.99129045f0)
T+00:00:08.84||(altitude = 1714.1042741127312, velocity = 236.55402132204728, thrust = 7229.384f0, mass = 629.4676f0, drag = 409.3923155477452, density = 0.9788644f0)
T+00:00:09.32||(altitude = 1827.7483609495685, velocity = 237.0654314470816, thrust = 6984.476f0, mass = 627.7166f0, drag = 411.16991424103225, density = 0.96730435f0)
T+00:00:09.80||(altitude = 1951.1301498804241, velocity = 237.57847045455685, thrust = 7143.0825f0, mass = 625.82086f0, drag = 412.7401579548603, density = 0.9561433f0)
