T+00:00:12.92||(altitude = 2336.8221599357203, velocity = 266.8378217144865, thrust = 7402.722f0, mass = 290.95312f0, drag = 336.51264019725824)
T+00:00:13.20||(altitude = 2411.9330537961796, velocity = 270.80539467972113, thrust = 7332.7104f0, mass = 289.9149f0, drag = 359.5641974663543)
T+00:00:13.48||(altitude = 2488.162818298675, velocity = 274.82662369198334, thrust = 7219.9272f0, mass = 288.8711f0, drag = 383.3059884581347)
T+00:00:13.76||(altitude = 2565.515350408852, velocity = 278.84206311493324, thrust = 7147.2417f0, mass = 287.8267f0, drag = 407.55567224101225)
T+00:00:14.04||(altitude = 2643.9870650172234, velocity = 282.82354229575895, thrust = 7343.5786f0, mass = 286.78937f0, drag = 431.99115929009605)
T+00:00:14.32||(altitude = 2723.574512821622, velocity = 286.82262915731917, thrust = 7200.4604f0, mass = 285.75137f0, drag = 456.5124106147859)
T+00:00:14.60||(altitude = 2804.2770752897486, velocity = 290.76761505938157, thrust = 7055.3994f0, mass = 284.7184f0, drag = 480.9869392911046)
T+00:00:14.88||(altitude = 2886.0870513888076, velocity = 294.7446558686685, thrust = 7175.3984f0, mass = 283.68417f0, drag = 505.0194019137453)
T+00:00:15.16||(altitude = 2969.010310003534, velocity = 298.719053988048, thrust = 7200.6025f0, mass = 282.65445f0, drag = 528.9943542567402)
T+00:00:15.44||(altitude = 3053.0555878542364, velocity = 302.7729421685621, thrust = 7335.2754f0, mass = 281.6134f0, drag = 552.4484638804382)
T+00:00:15.72||(altitude = 3138.233997348696, velocity = 306.822722647803, thrust = 7370.7393f0, mass = 280.5761f0, drag = 579.0722813877812)
T+00:00:15.00||(altitude = 3224.5472045848146, velocity = 310.8233393210627, thrust = 7227.7407f0, mass = 279.5377f0, drag = 598.3310565385832)
T+00:00:16.28||(altitude = 3311.9841448841617, velocity = 314.890824529405, thrust = 7188.221f0, mass = 278.5031f0, drag = 619.4961789177669)
T+00:00:16.56||(altitude = 3400.554673442617, velocity = 319.2065384576822, thrust = 7314.674f0, mass = 277.46994f0, drag = 639.6672519680385)
T+00:00:16.84||(altitude = 3490.2637881711125, velocity = 323.04310873827706, thrust = 7467.8057f0, mass = 276.42874f0, drag = 658.3760460556972)
T+00:00:17.12||(altitude = 3581.1300093038008, velocity = 327.21487719846505, thrust = 7326.073f0, mass = 275.38635f0, drag = 675.8308262338292)
T+00:00:17.40||(altitude = 3673.164446222596, velocity = 331.3551636460709, thrust = 7530.476f0, mass = 274.3442f0, drag = 691.5756544757749)
